'J5@h(D%H'		'20'	'1'	'03'	'352190'	'1'	'ГУЛЬКЕВИЧИ'	'УЛ.СОВЕТСКАЯ,29"А"'	'040315000'	'ООО КБ "ИСТОК"'	'ИСТОК'	'040315835'	'800161635'	'141152'	'01'	'260716'		'(8260)33462,32463'	'520'	'09801919'	14.09.06		'30101810600000000835'	20.01.94		
'JgdfIewE'		'10'	'3'	'03'	'353200'	'5'	'ДИНСКАЯ'	'УЛ.ЛУНАЧАРСКОГО,41'	'040349001'	'РКЦ ДИНСКАЯ'	'ДИНСКАЯ'	'040316000'		'141163'	'02'	'211836'	'211875'	'(86162)62133,61311'		'26965232'	30.05.05			20.01.94		
'|*oUq1OG'		'20'	'2'	'03'	'352140'	'5'	'КАВКАЗСКАЯ'	'УЛ.К.МАРКСА N 147'	'040326000'	'ООО "КАВКАЗСКИЙ КСБ"'	'КАВКАЗСКИЙ КСБ'	'040326531'			'01'	'260714'		'(8295)22609,22668'	'481'	'09141200'	02.10.06		'30101810900000000531'	20.01.94		
'==KhL5?2'		'10'	'3'	'03'	'353730'	'5'	'КАНЕВСКАЯ'	'УЛ.ГОРЬКОГО,61'	'040349001'	'РКЦ КАНЕВСКАЯ'	'КАНЕВСКАЯ'	'040323000'		'141237'	'02'	'211637'		'(86164)72105'		'26965261'	15.11.04			20.01.94		
'v-INh=h2'		'10'	'3'	'03'	'352380'	'1'	'КРОПОТКИН'	'УЛ.КРАСНАЯ,51'	'040349001'	'РКЦ КРОПОТКИН'	'КРОПОТКИН'	'040326000'		'141260'	'02'	'711861'		'(86138)65968,66671'		'26965309'	15.11.04			20.01.94		
'o@8U=!K1'		'10'	'3'	'03'	'353380'	'1'	'КРЫМСК'	'УЛ.ЛЕНИНА,221'	'040349001'	'РКЦ КРЫМСК'	'КРЫМСК'	'040328000'		'141282'	'02'	'711079'		'(86131)46121,43621'		'26965321'	15.11.04			20.01.94		
'#-s&rV28'		'10'	'3'	'03'	'352430'	'1'	'КУРГАНИНСК'	'УЛ.ЛЕНИНА,37'	'040349001'	'РКЦ КУРГАНИНСК'	'КУРГАНИНСК'	'040329000'		'141293'	'02'	'260857'		'(86147)21296,23273'		'26965338'	15.11.04			20.01.94		
'OW!6O)81'		'30'	'1'	'03'	'352430'	'1'	'КУРГАНИНСК'	'УЛ.ЛЕНИНА,51'	'040329000'	'КУРГАНИНСКИЙ ФИЛИАЛ ОАО АКБ "УРАЛСИБ-ЮГ БАНК"'	'УРАЛСИБ-ЮГ БАНК'	'040329706'	'700161606'	'141293'	'01'			'(8247)24486,24285'	'457/13'	'34966286'	27.11.06		'30101810600000000706'	12.08.94		
'477qIx)?'		'10'	'3'	'03'	'353180'	'1'	'КОРЕНОВСК'	'УЛ.КРАСНАЯ,21А'	'040349001'	'РКЦ КОРЕНОВСК'	'КОРЕНОВСК'	'040334000'		'141248'	'02'	'711031'		'(86142)41317,40744'		'26965284'	15.11.04			20.01.94		
'1=x7IiJ9'		'10'	'3'	'03'	'353860'	'1'	'ПРИМОРСКО-АХТАРСК'	'УЛ.ПЕРВОМАЙСКАЯ,29'	'040349001'	'РКЦ ПРИМОРСКО-АХТАРСК'	'ПРИМОРСКО-АХТАРСК'	'040337000'		'141497'	'02'	'711815'	'711814'	'(86143)30726,30787'		'26965433'	13.02.06			20.01.94		
'fLq9L0#<'		'10'	'3'	'03'	'352240'	'1'	'НОВОКУБАНСК'	'УЛ.БОЛЬШЕВИСТСКАЯ,93'	'040349001'	'РКЦ НОВОКУБАНСК'	'НОВОКУБАНСК'	'040338000'		'141389'	'02'	'260873'		'(86195)31881,32966'		'26965380'	15.11.04			20.01.94		
'NAJ)h>t<'		'10'	'3'	'03'	'352030'	'5'	'КУЩЕВСКАЯ'	'УЛ.КРАСНАЯ,37'	'040349001'	'РКЦ КУЩЕВСКАЯ'	'КУЩЕВСКАЯ'	'040340000'		'141301'	'02'	'711316'		'(86168)54350,54597'		'26965344'	15.11.04			20.01.94		
'6?F=HjRP'		'20'	'2'	'03'	'350020'	'1'	'КРАСНОДАР'	'УЛ.ДЗЕРЖИНСКОГО,3/2'	'040349001'	'АКБ "КРЫЛОВСКИЙ" (ОАО)'	'КРЫЛОВСКИЙ'	'040349569'			'01'			'(861)2248013,2248253'	'456'	'09141191'	15.06.07		'30101810900000000569'	20.01.94		
'Y7%F=kg9'		'10'	'3'	'03'	'353740'	'5'	'ЛЕНИНГРАДСКАЯ'	'УЛ.ВОКЗАЛЬНАЯ,164'	'040349001'	'РКЦ ЛЕНИНГРАДСКАЯ'	'ЛЕНИНГРАДСКАЯ'	'040344000'		'141345'	'02'	'711714'		'(86145)34445,34239'		'26965367'	15.11.04			20.01.94		
'lL%uIdT5'		'10'	'3'	'03'	'352290'	'5'	'ОТРАДНАЯ'	'УЛ.ПЕРВОМАЙСКАЯ,7А'	'040349001'	'РКЦ ОТРАДНАЯ'	'ОТРАДНАЯ'	'040345000'		'141453'	'02'	'260812'		'(86144)33980,35261'		'26965410'	15.11.04			20.01.94		
